,DOI,filename,Material Name,Temperature (K),Equivalent CO2 Pressure (bar),Loading Estimate,Loading Units
43,10.1002/adma.201500966,10.1002adma.201500966.Isotherm5,Zn2(dobdc),298,0.00040530000000000004,0.004103446426399027,mol/mol
44,10.1002/adma.201500966,10.1002adma.201500966.Isotherm6,Mn2(dobdc),298,0.00040530000000000004,0.004318657959009254,mol/mol
45,10.1002/adma.201500966,10.1002adma.201500966.Isotherm7,Cu2(dobdc),298,0.00040530000000000004,0.0034040743656136717,mol/mol
46,10.1002/adsu.201700092,10.1002adsu.201700092.Isotherm11,UiO-66(Zr)-NH2-F4-0.53,298,0.00040530000000000004,0.001858126112759644,mmol/g
47,10.1002/adsu.201700092,10.1002adsu.201700092.Isotherm12,UiO-66(Zr)-NH2,298,0.00040530000000000004,0.0020615259259259265,mmol/g
48,10.1002/adsu.201700092,10.1002adsu.201700092.Isotherm13,Physical mixture of UiO-66(Zr)-NH2 (47 mol%) and UiO-66(Zr)-F4 (53 mol%),298,0.00040530000000000004,0.0023017037037037042,mmol/g
49,10.1002/aic.10687,10.1002aic.10687.Isotherm10,Carbon Slit Pore,318,0.00043250134228187923,0.0004905101298121115,mmol/cm3
50,10.1002/aic.10687,10.1002aic.10687.Isotherm23,Carbon Slit Pore,308,0.00041890067114093963,0.00012263430586774806,mmol/cm3
51,10.1002/aic.10687,10.1002aic.10687.Isotherm24,Carbon Slit Pore,308,0.00041890067114093963,0.00039631865099326173,mmol/cm3
52,10.1002/aic.10687,10.1002aic.10687.Isotherm25,Carbon Slit Pore,318,0.00043250134228187923,0.00011353210577266202,mmol/cm3
53,10.1002/aic.10687,10.1002aic.10687.Isotherm26,Carbon Slit Pore,318,0.00043250134228187923,0.00014398893002036045,mmol/cm3
54,10.1002/aic.10687,10.1002aic.10687.Isotherm4,Carbon Slit Pore,318,0.00043250134228187923,4.7563136828403945e-05,mmol/cm3
55,10.1002/aic.10687,10.1002aic.10687.Isotherm5,Carbon Slit Pore,318,0.00043250134228187923,0.00012704337989474194,mmol/cm3
56,10.1002/aic.10687,10.1002aic.10687.Isotherm6,Carbon Slit Pore,318,0.00043250134228187923,0.00042738996278218435,mmol/cm3
57,10.1002/aic.10687,10.1002aic.10687.Isotherm7,Carbon Slit Pore,308,0.00041890067114093963,0.0006083989638836926,mmol/cm3
58,10.1002/aic.10687,10.1002aic.10687.Isotherm8,Carbon Slit Pore,308,0.00041890067114093963,0.0012296056471948916,mmol/cm3
59,10.1002/aic.10687,10.1002aic.10687.Isotherm9,Carbon Slit Pore,318,0.00043250134228187923,0.00031734398362200984,mmol/cm3
60,10.1002/Aic.11865,10.1002Aic.11865.isotherm3,Soc-MOF,298,0.00040530000000000004,0.000347214593601203,mmol/g
61,10.1002/Aic.13970,10.1002Aic.13970.isotherm11,ZIF-8,298,0.00040530000000000004,5.696574113748055e-06,mg/m2
62,10.1002/Aic.13970,10.1002Aic.13970.isotherm12,ZIF-8,308,0.00041890067114093963,5.87956218259809e-06,mg/m2
63,10.1002/Aic.13970,10.1002Aic.13970.isotherm13,ZIF-8,318,0.00043250134228187923,4.1545428167183425e-06,mg/m2
64,10.1002/Aic.13970,10.1002Aic.13970.isotherm15,ED-ZIF-8,298,0.00040530000000000004,8.207186366313257e-06,mg/m2
65,10.1002/Aic.13970,10.1002Aic.13970.isotherm16,ED-ZIF-8,308,0.00041890067114093963,5.874018187862266e-06,mg/m2
66,10.1002/Aic.13970,10.1002Aic.13970.isotherm17,ED-ZIF-8,318,0.00043250134228187923,6.550336395070541e-06,mg/m2
67,10.1002/Aic.13970,10.1002Aic.13970.isotherm37,ZIF-8,298,0.00040530000000000004,0.000201084695813163,mmol/g
68,10.1002/Aic.13970,10.1002Aic.13970.isotherm5,ZIF-8,318,0.00043250134228187923,0.0006070356215603177,mmol/g
69,10.1002/Aic.13970,10.1002Aic.13970.isotherm7,ED-ZIF-8,298,0.00040530000000000004,0.0002622443184059973,mmol/g
70,10.1002/Aic.13970,10.1002Aic.13970.isotherm8,ED-ZIF-8,308,0.00041890067114093963,0.00025098314487740833,mmol/g
71,10.1002/Aic.13970,10.1002Aic.13970.isotherm9,ED-ZIF-8,318,0.00043250134228187923,0.0001811490310190044,mmol/g
72,10.1002/Aic.14467,10.1002Aic.14467.Isotherm1,DDR,298,0.00040530000000000004,0.0009832855883130018,mmol/g
73,10.1002/Aic.14467,10.1002Aic.14467.Isotherm10,MIL-47,298,0.00040530000000000004,0.22177451560874897,mmol/g
74,10.1002/Aic.14467,10.1002Aic.14467.Isotherm11,MIL-47,298,0.00040530000000000004,0.1118499611327388,mmol/g
75,10.1002/Aic.14467,10.1002Aic.14467.Isotherm12,MOF-177,298,0.00040530000000000004,0.01864408465274592,mmol/g
76,10.1002/Aic.14467,10.1002Aic.14467.Isotherm13,MOF-177,298,0.00040530000000000004,0.0017031724496522783,mmol/g
77,10.1002/Aic.14467,10.1002Aic.14467.Isotherm15,Mg-MOF-74,298,0.00040530000000000004,0.10592138644542186,mmol/g
78,10.1002/Aic.14467,10.1002Aic.14467.Isotherm16,Mg-MOF-74,298,0.00040530000000000004,0.04710374900039984,mmol/g
79,10.1002/Aic.14467,10.1002Aic.14467.Isotherm18,ZIF-8,298,0.00040530000000000004,0.007000221674974976,mmol/g
80,10.1002/Aic.14467,10.1002Aic.14467.Isotherm19,Zeolite FAU,313,0.0004257010067114095,2.066939927626538e-17,mmol/g
81,10.1002/Aic.14467,10.1002Aic.14467.Isotherm2,DDR,298,0.00040530000000000004,0.0006608616099343874,mmol/g
82,10.1002/Aic.14467,10.1002Aic.14467.Isotherm20,DDR,313,0.0004257010067114095,0.00042158967733429937,mmol/g
83,10.1002/Aic.14467,10.1002Aic.14467.Isotherm22,ZIF-8,313,0.0004257010067114095,0.005722537429757561,mmol/g
84,10.1002/Aic.14467,10.1002Aic.14467.Isotherm23,MIL-47,313,0.0004257010067114095,0.001460478915495019,mmol/g
85,10.1002/Aic.14467,10.1002Aic.14467.Isotherm24,Zn-MOF-74,313,0.0004257010067114095,0.0020217099270677555,mmol/g
86,10.1002/Aic.14467,10.1002Aic.14467.Isotherm25,CuBTC,313,0.0004257010067114095,0.003062908631828039,mmol/g
87,10.1002/Aic.14467,10.1002Aic.14467.Isotherm26,Mg-MOF-74,313,0.0004257010067114095,0.012993504862747913,mmol/g
88,10.1002/Aic.14467,10.1002Aic.14467.Isotherm3,MFI,303,0.00041210033557046984,3.377863293491607e-06,mmol/g
89,10.1002/Aic.14467,10.1002Aic.14467.Isotherm4,MFI,303,0.00041210033557046984,0.00041210033557046984,mmol/g
90,10.1002/Aic.14467,10.1002Aic.14467.Isotherm6,IRMOF-1,298,0.00040530000000000004,0.0016757607692559425,mmol/g
91,10.1002/Aic.14467,10.1002Aic.14467.Isotherm7,CuBTC,303,0.00041210033557046984,0.00485742673540734,mmol/g
92,10.1002/Aic.14467,10.1002Aic.14467.Isotherm8,CuBTC,303,0.00041210033557046984,0.001428650230102811,mmol/g
93,10.1002/Aic.14467,10.1002Aic.14467.Isotherm93,CuBTC,313,0.0004257010067114095,0.0007254038970874097,mmol/g
94,10.1002/Aic.14467,10.1002Aic.14467.Isotherm94,Mg-MOF-74,313,0.0004257010067114095,0.0027179359775283537,mmol/g
95,10.1002/Aic.14467,10.1002Aic.14467.Isotherm95,Zn-MOF-74,313,0.0004257010067114095,0.1372704289556309,mmol/g
96,10.1002/Aic.14467,10.1002Aic.14467.Isotherm96,MIL-47,313,0.0004257010067114095,0.0002718044050962367,mmol/g
97,10.1002/Aic.14467,10.1002Aic.14467.Isotherm97,ZIF-8,313,0.0004257010067114095,0.003537726670773847,mmol/g
98,10.1002/aic.690461017,10.1002aic.690461017.isotherm1,Carbon,305,0.00041482046979865776,0.00010719816512846955,mmol/g
99,10.1002/aic.690461017,10.1002aic.690461017.isotherm2,Carbon,309,0.0004202607382550336,0.00010572003813430829,mmol/g
100,10.1002/aic.690461017,10.1002aic.690461017.isotherm3,Carbon,313,0.0004257010067114095,0.0001027866137259664,mmol/g
101,10.1002/aic.690461017,10.1002aic.690461017.isotherm4,Carbon,318,0.00043250134228187923,9.985249991782973e-05,mmol/g
102,10.1002/aic.690461017,10.1002aic.690461017.isotherm5,Carbon,308,0.00041890067114093963,8.166141503281317e-06,mmol/g
103,10.1002/aic.690461017,10.1002aic.690461017.isotherm6,Carbon,318,0.00043250134228187923,5.695829522238161e-06,mmol/g
104,10.1002/aic.690470520,10.1002aic.690470520.Isotherm1,Zeolite 13X,293,0.00039849966442953024,0.5207858926519937,mmol/g
105,10.1002/aic.690470520,10.1002aic.690470520.Isotherm6,Zeolite 13X,293,0.00039849966442953024,0.5234705504486842,mmol/g
106,10.1002/ange.201501718,10.1002ange.201501718.Isotherm2,PKU-17,273,0.00037129832214765105,0.0019602359400780196,mmol/g
107,10.1002/anie.200700218,10.1002anie.200700218.isotherm1,IRMOF-1,298,0.00040530000000000004,0.014879671744052697,mg/g
108,10.1002/anie.200700218,10.1002anie.200700218.isotherm2,IRMOF-1,298,0.00040530000000000004,0.01257294136475747,mg/g
109,10.1002/anie.200702324,10.1002anie.200702324.Isotherm3,C384H192N48O96Tb16,298,0.00040530000000000004,0.00035892971628926365,mmol/g
110,10.1002/anie.200702324,10.1002anie.200702324.Isotherm4,C384H192N48O96Tb16,298,0.00040530000000000004,0.0003843914190223447,mmol/g
111,10.1002/anie.200803067,10.1002anie.200803067.Isotherm1,MIL-53(Cr),300,0.00040802013422818796,0.0021608358182639022,molecules/unitcell
112,10.1002/anie.200803067,10.1002anie.200803067.Isotherm2,MIL-53(Cr),300,0.00040802013422818796,0.0008373245723956277,molecules/unitcell
113,10.1002/anie.200902836,10.1002anie.200902836.isotherm13,SNU-M11,298,0.00040530000000000004,0.00010511338782535714,mmol/g
114,10.1002/anie.200902836,10.1002anie.200902836.isotherm15,SNU-M11,298,0.00040530000000000004,0.00021529169913777518,wt%
115,10.1002/anie.200902836,10.1002anie.200902836.isotherm2,SNU-M10,273,0.00037129832214765105,0.0043428911258110514,mmol/g
116,10.1002/anie.200902836,10.1002anie.200902836.isotherm6,SNU-M10,298,0.00040530000000000004,0.000796165912945167,mmol/g
117,10.1002/anie.200902836,10.1002anie.200902836.isotherm9,SNU-M10,298,0.00040530000000000004,0.005462577623778458,wt%
118,10.1002/anie.201101957,10.1002anie.201101957.Isotherm3,CPM-13,273,0.00037129832214765105,0.003288290905623482,mmol/g
119,10.1002/anie.201101957,10.1002anie.201101957.Isotherm5,CPM-12,273,0.00037129832214765105,0.0029504334989197837,mmol/g
120,10.1002/anie.201101957,10.1002anie.201101957.Isotherm6,CPM-12,298,0.00040530000000000004,0.0012387013015031853,mmol/g
121,10.1002/anie.201102329,10.1002anie.201102329.Isotherm11,C16H10CuN4O4,298,0.00040530000000000004,0.0022953460660960095,mmol/g
122,10.1002/anie.201102329,10.1002anie.201102329.Isotherm12,C16H10CuN4O4,298,0.00040530000000000004,0.0019127757856911994,mmol/g
123,10.1002/anie.201102329,10.1002anie.201102329.Isotherm13,C16H10CuN4O4,273,0.00037129832214765105,0.014750975256311694,mmol/g
124,10.1002/anie.201102329,10.1002anie.201102329.Isotherm14,C16H10CuN4O4,273,0.00037129832214765105,0.014874120347999007,mmol/g
125,10.1002/anie.201102329,10.1002anie.201102329.Isotherm15,C16H10CuN4O4,298,0.00040530000000000004,0.0048266146417910456,mmol/g
126,10.1002/anie.201102329,10.1002anie.201102329.Isotherm16,C16H10CuN4O4,323,0.0004393016778523491,0.0029077249602990417,mmol/g
127,10.1002/anie.201102329,10.1002anie.201102329.Isotherm17,C16H10CuN4O4,323,0.0004393016778523491,0.002258521850651167,mmol/g
128,10.1002/anie.201104130,10.1002anie.201104130.isotherm4,Ni-DBM-BPY,303,0.00041210033557046984,9.413470747992031e-05,mmol/g
129,10.1002/anie.201105966,10.1002anie.201105966.Isotherm15,Cu-TDPAT,298,0.00040530000000000004,0.001535706862797255,mmol/g
130,10.1002/anie.201105966,10.1002anie.201105966.Isotherm2,Cu-TDPAT,273,0.00037129832214765105,0.04952916095488161,mmol/g
131,10.1002/anie.201105966,10.1002anie.201105966.Isotherm3,Cu-TDPAT,288,0.00039169932885906044,0.027358259196593453,mmol/g
132,10.1002/anie.201105966,10.1002anie.201105966.Isotherm4,Cu-TDPAT,298,0.00040530000000000004,0.016717723448897426,mmol/g
133,10.1002/anie.201105966,10.1002anie.201105966.Isotherm5,Cu-TPBTM,298,0.00040530000000000004,0.0028568884244217453,mmol/g
134,10.1002/anie.201105966,10.1002anie.201105966.Isotherm6,PCN-61,298,0.00040530000000000004,0.00428770776565109,mmol/g
135,10.1002/anie.201105966,10.1002anie.201105966.Isotherm7,NU-100,298,0.00040530000000000004,0.002596920819615366,mmol/g
136,10.1002/anie.201105966,10.1002anie.201105966.Isotherm8,PCN-66,298,0.00040530000000000004,0.0003397783472494429,mmol/g
137,10.1002/anie.201106615,10.1002anie.201106615.isotherm6,PCN-80,273,0.00037129832214765105,0.008303360312296747,wt%
138,10.1002/anie.201106615,10.1002anie.201106615.isotherm7,PCN-80,296,0.0004025798657718121,0.006271723871035015,wt%
139,10.1002/anie.201201202,10.1002anie.201201202.isotherm1,Rht-MOF-4a,273,0.00037129832214765105,0.010059538014679712,wt%
140,10.1002/anie.201201202,10.1002anie.201201202.isotherm2,Rht-MOF-4a,298,0.00040530000000000004,0.0004135481399178949,wt%
141,10.1002/anie.201203929,10.1002anie.201203929.isotherm2,[Zn(Gly-Thr)2]*CH3OH,273,0.00037129832214765105,0.001673604319982207,wt%
142,10.1002/anie.201203929,10.1002anie.201203929.isotherm3,[Zn(Gly-Thr)2]*CH3OH,273,0.00037129832214765105,0.0002984886582953757,wt%
143,10.1002/anie.201203929,10.1002anie.201203929.isotherm4,[Zn(Gly-Thr)2]*CH3OH,273,0.00037129832214765105,0.002215886146494428,wt%
144,10.1002/anie.201203929,10.1002anie.201203929.isotherm5,[Zn(Gly-Thr)2]*CH3OH,298,0.00040530000000000004,0.0010319056574767638,wt%
145,10.1002/anie.201302715,10.1002anie.201302715.isotherm5,NJU-Bai9,273,0.00037129832214765105,4.688839330907686e-05,mmol/g
146,10.1002/anie.201302715,10.1002anie.201302715.isotherm6,NJU-Bai9,298,0.00040530000000000004,2.3199161723044142e-05,mmol/g
